URL,Page Title,Meta Description,H1,Has Ebook CTA,Has Announcement Bar,File Path,Last Modified
https://vibrationofawesome.com/,Vibration of Awesome,,Vibration of Awesome,No,Yes,index.html,2026-03-27
https://vibrationofawesome.com/admin/,Content Manager | Vibration of Awesome,,,No,No,static/admin/index.html,2026-03-07
https://vibrationofawesome.com/art-store/,Art Store · Vibration of Awesome,,Art Store,No,No,static/art-store/index.html,2026-03-23
https://vibrationofawesome.com/aura/,AURA - Your AI Spiritual Companion | Cosmic Guidance & Mindset,"AURA is your personal AI spiritual companion for mindset, manifestation, and cosmic guidance. Available 24/7 to help you elevate your vibration and unlock your potential.",Your cosmic guide is waiting for you,No,No,static/aura/index.html,2026-03-20
https://vibrationofawesome.com/aura/cancel/,AURA -- No Worries,,No worries.AURA Free is always here for you.,No,No,static/aura/cancel/index.html,2026-03-20
https://vibrationofawesome.com/aura/success/,Welcome to AURA Premium,,Welcome to AURA Premium.Your journey deepens.,No,No,static/aura/success/index.html,2026-03-20
https://vibrationofawesome.com/blog/,Blog - Vibration of Awesome,"Two voices, one signal. The Forest Temple journal and Boom Frequency transmissions.",The Transmissions,No,Yes,static/blog/index.html,2026-03-27
https://vibrationofawesome.com/blog/boom/,Boom Frequency - Matty BoomBoom | Vibration of Awesome,"SEO-optimized transmissions from Matty BoomBoom. AI tools for independent artists, music marketing guides, and signal from somewhere interesting.",BOOM FREQUENCY,No,Yes,static/blog/boom/index.html,2026-03-27
https://vibrationofawesome.com/blog/boom/drafts/ai-content-creation-tools-that-actually-save-time.html,AI Content Creation Tools That Actually Save Time | Boom Frequency | Vibration of Awesome,"Discover AI content creation tools that actually save time for musicians, artists, and independent creators breaking free from the grind ~ real recommendations from someone who uses them daily.",AI Content Creation Tools That Actually Save Time,No,No,static/blog/boom/drafts/ai-content-creation-tools-that-actually-save-time.html,2026-03-25
https://vibrationofawesome.com/blog/boom/drafts/burnout-isnt-the-problem-its-the-signal.html,Burnout Isn't the Problem ~ It's the Signal | Boom Frequency | Vibration of Awesome,Burnout and purpose are deeply connected ~ your exhaustion isn,Burnout Isn't the Problem ~ It's the Signal,No,No,static/blog/boom/drafts/burnout-isnt-the-problem-its-the-signal.html,2026-03-25
https://vibrationofawesome.com/blog/boom/drafts/how-to-become-your-true-self-when-the-world-wants-you-generic.html,How to Become Your True Self When the World Wants You Generic | Boom Frequency | Vibration of Awesome,Discover how to become your true self when society pressures you to conform. A practical guide for awakening creators ready to shed false identities and build an authentic life on their own terms.,How to Become Your True Self When the World Wants You Generic,No,No,static/blog/boom/drafts/how-to-become-your-true-self-when-the-world-wants-you-generic.html,2026-03-24
https://vibrationofawesome.com/blog/boom/drafts/how-to-break-out-of-the-system-without-losing-everything.html,How to Break Out of the System Without Losing Everything | Boom Frequency | Vibration of Awesome,"Discover how to break out of the system without losing everything ~ practical strategies for escaping survival mode, building real freedom, and creating a life on your own terms.",How to Break Out of the System Without Losing Everything,No,No,static/blog/boom/drafts/how-to-break-out-of-the-system-without-losing-everything.html,2026-03-25
https://vibrationofawesome.com/blog/boom/drafts/how-to-build-a-life-you-actually-want-not-the-one-you-settled-for.html,How to Build a Life You Actually Want (Not the One You Settled For) | Boom Frequency | Vibration of Awesome,"Learn how to build a life you actually want by escaping survival mode, designing intentionally, and making choices aligned with who you really are ~ not who you were told to be.",How to Build a Life You Actually Want (Not the One You Settled For),No,No,static/blog/boom/drafts/how-to-build-a-life-you-actually-want-not-the-one-you-settled-for.html,2026-03-25
https://vibrationofawesome.com/blog/boom/drafts/how-to-change-your-life-completely-when-you-dont-know-where-to-begin.html,How to Change Your Life Completely When You Don't Know Where to Begin | Boom Frequency | Vibration of Awesome,Learn how to change your life completely when you feel lost and overwhelmed. This guide breaks down the real process of transformation for people stuck in survival mode who are ready to build something new.,How to Change Your Life Completely When You Don't Know Where to Begin,No,No,static/blog/boom/drafts/how-to-change-your-life-completely-when-you-dont-know-where-to-begin.html,2026-03-25
https://vibrationofawesome.com/blog/boom/drafts/how-to-create-a-freedom-lifestyle-from-scratch.html,How to Create a Freedom Lifestyle From Scratch | Boom Frequency | Vibration of Awesome,"Learn how to create a freedom lifestyle from scratch, even if you",How to Create a Freedom Lifestyle From Scratch,No,No,static/blog/boom/drafts/how-to-create-a-freedom-lifestyle-from-scratch.html,2026-03-25
https://vibrationofawesome.com/blog/boom/drafts/how-to-escape-the-9-to-5-mindset-even-if-you-still-have-a-job.html,How to Escape the 9 to 5 Mindset Even If You Still Have a Job | Boom Frequency | Vibration of Awesome,"Learn how to escape the 9 to 5 mindset while still employed ~ practical strategies for mental freedom, building alternatives, and shifting from survival mode to abundance thinking.",How to Escape the 9 to 5 Mindset Even If You Still Have a Job,No,No,static/blog/boom/drafts/how-to-escape-the-9-to-5-mindset-even-if-you-still-have-a-job.html,2026-03-25
